Rank,Streams,Track Name,tempo,Artist_id
72.0,287730019,Don't Stop Me Now - 2011 Mix,156.295,1dfeR4HaWDbWqFHLkxsg1d
73.0,286923182,Te Robaré,175.997,1SupJlEpv7RS2tPNRaHViT
74.0,283806127,Sucker,137.958,7gOdHgIoIKoe4i9Tta6qdD
75.0,282065182,11 PM,95.69200000000001,1r4hJ1h58CWwUQe3MxPuau
76.0,281985613,Say You Won't Let Go,85.04299999999999,4IWBUUAFIplrNtaOHcJPRM
77.0,281633683,No Guidance (feat. Drake),92.932,7bXgB6jMjp9ATFy66eO08Z
78.0,280915497,hot girl bummer,129.989,2cFrymmkijnjDg9SS92EPM
79.0,278801574,Giant (with Rag'n'Bone Man),122.015,7CajNmpbOovFoOoasH2HaY
80.0,276114065,Another One Bites The Dust - Remastered 2011,109.96700000000001,1dfeR4HaWDbWqFHLkxsg1d
81.0,272374472,Here With Me,99.961,64KEffDW9EtZ1y2vBYgq8T
82.0,270623566,lovely (with Khalid),115.28399999999999,6qqNVTkY8uBg9cP3Jd7DAH
83.0,268726609,Drip Too Hard (Lil Baby & Gunna),112.51100000000001,5f7VJjfbwm532GiveGC0ZK
84.0,268148985,Suge,75.445,4r63FhuTkUYltbVAg5TQnk
85.0,267397652,In My Mind,125.905,3v6Ji4uoWtKRkhuDUaxi9n
86.0,266393254,Verte Ir,95.98200000000001,64aJYyrXljOodnUG6jvhRD
87.0,261504425,Boy With Luv (feat. Halsey),119.991,3Nrfpe0tUJi4K4DXYWgMUX
88.0,260460676,Jocelyn Flores,134.02100000000002,15UsOTVnJzReFVN1VCnxy4
89.0,258870697,Thunder,167.997,53XhwfbYqKCa1cC15pYq2q
90.0,256405301,Murder On My Mind,115.007,1cNDP5yjU5vjeR8qMf4grg
91.0,253198861,Never Really Over,99.991,6jJ0s89eD6GaHleKKya26X
92.0,250126582,South of the Border (feat. Camila Cabello & Cardi B),97.986,6eUKZXaKkcviH0Ku9w2n3V
93.0,249679896,God's Plan,77.169,3TVXtAsR1Inumwj472S9r4
94.0,248946391,Adan y Eva,171.993,3vQ0GE3mI0dAaxIMYe5g7z
