Rank,Track_id,Streams,Track Name,Artist_id
53.0,7qiZfU4dY1lWllzX7mPBI3,353578651,Shape of You,6eUKZXaKkcviH0Ku9w2n3V
54.0,6zeeWid2sgw4lap2jV61PZ,353040764,Better,6LuN9FCkKOj5PcnpouEgny
55.0,0fea68AdmYNygeTGI4RC18,350601983,LA CANCIÓN,1vyhD5VmyZ7KMfW5gqLgo5
56.0,53CJANUxooaqGOtdsBTh7O,350047280,Old Town Road,7jVv8c5Fj3E9VhNjxT4snq
57.0,1wJRveJZLSb1rjhnUHQiv6,346465962,Swervin (feat. 6ix9ine),31W5EY0aAly4Qieq6OFu6I
58.0,0pqnGHJpmpxLKifKRmU6WP,343080186,Believer,53XhwfbYqKCa1cC15pYq2q
59.0,2iUXsYOEPhVqEBwsqP70rE,334669623,Youngblood,5Rl15oVamLq7FbSb0NNBNy
60.0,4y3OI86AEP6PQoDE6olYhO,315164968,Sucker,7gOdHgIoIKoe4i9Tta6qdD
61.0,0JP9xo3adEtGSdUEISiszL,314664397,Moonlight,15UsOTVnJzReFVN1VCnxy4
62.0,0tgVpDi06FyKpA1z0VMD4v,310304897,Perfect,6eUKZXaKkcviH0Ku9w2n3V
63.0,3eekarcy7kvN4yt5ZFzltW,309682412,HIGHEST IN THE ROOM,0Y5tJX1MQlPlqiwlOH1tJY
64.0,2YpeDb67231RjR0MgVLzsG,307243369,Old Town Road - Remix,7jVv8c5Fj3E9VhNjxT4snq
65.0,0TK2YIli7K1leLovkQiNik,307203347,Señorita,7n2wHs1TKAczGzO7Dd2rGr
66.0,4u7EnebtmKWzUH433cf5Qv,305423901,Bohemian Rhapsody - 2011 Mix,1dfeR4HaWDbWqFHLkxsg1d
67.0,7uH27oIt4a6cIFCA8ZPcyG,301330276,Baila Baila Baila,1i8SpTcr7yvPOmcqrbnVXY
68.0,6osaMSJh9NguagEDQcZaKx,296598553,Loco Contigo (feat. J. Balvin & Tyga),540vIaP2JwjQb9dm3aArA4
69.0,1c0hsvHLELX6y8qymnpLKL,290429693,Soltera - Remix,47MpMsUfWtgyIIBEFOr4FE
70.0,2BgEsaKNfHUdlh97KmvFyo,290392031,2002,1zNqDE7qDGCsyzJwohVaoX
71.0,2P91MQbaiQOfbiz9VqhqKQ,288231385,I Like Me Better,5JZ7CnR6gTvEMKX4g70Amv
72.0,5T8EDUDqKcs6OSOwEsfqG7,287730019,Don't Stop Me Now - 2011 Mix,1dfeR4HaWDbWqFHLkxsg1d
